,Song_Lyrics,Happy,Angry,Surprise,Sad,Fear
10,falling into you baby even electricity cant compare to what i feel when i m with you ooh baby giving up my ghost for you and now im see through you give me a feeling feeling so strong i know youve been treating treating yourself wrong so let me care for you ooh baby i ma love you differently ill give you electricity give it to you and even if i could i wouldnt turn on you and i would stop the world for you you know i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny even if i could i wouldnt turn on you and i would stop the world for you and i i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny all i see is you lately wide awake and in my dreams i see your face so vividly i dont know what id do ooh baby if you only saw a friend in me i d be bittersweet you give me a feeling feeling so strong i know you ve been treating treating yourself wrong so let me care for you ooh baby ima love you differently i ll give you electricity give it to you and even if i could i wouldnt turn on you and i would stop the world for you you know i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny even if i could i wouldnt turn on you and i would stop the world for you and i i wanna let you know i ll never let this feeling go this love has no ceiling i cannot deny i feel electric baby so electric baby wanna let you know let you know ooh i think im ready baby i think im ready now electricity im flowing in to you i feel electric baby so electric baby wanna let you know let you know i think im ready baby i think im ready now electricity im flowing in to you and even if i could i wouldnt turn on you and i would stop the world for you you know i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny even if i could i wouldnt turn on you and i would stop the world for you and i i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny i feel electric baby so electric baby wanna let you know let you know i think im ready baby i think im ready now electricity i feel electric baby so electric baby wanna let you know let you know i think im ready baby i think im ready now electricity,0.32,0.0,0.38,0.18,0.12
11,you know that sometimes i think about us now and then but i never wanna fall again ah yo no te quisiera olvidar pero contigo es todo o na yeah yeah youre deep in the water yeah youre drownin us you question my love like its not enough but i hate that you know you know you know you got me tied up you regret it now but its your mistake what makes you think that my mind will change and you hate that you know you know you know you know you messed up one day youll love me again one day youll love me for sure one day youll wake up feelin how ive been feelin baby youll knock at my door one day youll love me again hug me again till the end one day youll beg me to try one day youll realize im more than your lover im more than your lover im your friend acércate un poquito na má que yo quiero que te quedes conmigo deja a tus amiga allá atrás que no vamos en un viaje escondido no vamo pa turks and caicos y ahí calmamo las ganas suéltate conmigo mamá que ya no hay marcha atrás una noche sin ti no es tan fácil baby que yo soy pa ti y tú eres pa mí nunca me dejes de querer oh na na na contigo por siempre baby no quiero dejarte esta vez one day youll love me again one day youll love me for sure one day youll wake up feelin how ive been feelin baby youll knock at my door one day youll love me again hug me again till the end one day youll beg me to try one day youll realize im more than your lover im more than your lover im your friend yeah yeah yeah yo sé que estoy en tu corazón quizá en el fondo otra baby me escribe nunca le respondo la vida da vuelta y el mundo es redondo y yo voy a que te beso de nuevo en london o si no en marbella encima de la arena viendo la estrella yo sé que ni la ola han borrao mi huella pero tu pichaera e lo que me atropella sol playa y en la arena vamo allá baby no te quede callá yo sé que tú quiere guayar conmigo otra vez me tienes en depresión fumando en la habitación eh pero yo sé que one day youll love me again one day youll love me for sure one day youll wake up feelin how ive been feelin baby youll knock at my door one day youll love me again hug me again till the end one day youll beg me to try one day youll realize im more than your lover im more than your lover im your friend baby eh one day youll love me again one day youll realize im more than your lover im more than your lover im your friend j balvin man bad bunny baby tainy latino gang la familia,0.74,0.02,0.04,0.17,0.02
12,billboard baby dua lipa make em dance when it come on everybody lookin for a dancefloor to run on if you wanna run away with me i know a galaxy and i can take you for a ride i had a premonition that we fell into a rhythm where the music dont stop for life glitter in the sky glitter in my eyes shining just the way i like if youre feeling like you need a little bit of company you met me at the perfect time you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yеah yeah yeah i got you moonlight youre my starlight i need you all night comе on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating im one of the greatest aint no debatin on it im still levitated im heavily medicated ironic i gave em love and they end up hatin on me she told me she love me and she been waitin been fightin hard for your love and im runnin thin on my patience needed someone to hug even took it back to the basics you see what you got me out here doin mighta threw me off but cant nobody stop the movement uh uh lets go left foot right foot levitatin pop stars dua lipa with dababy i had to lace my shoes for all the blessings i was chasin if i ever slip ill fall into a better situation so catch up go put some cheese on it get out and get your bread up they always leave when you fall but you run together weight of the world on my shoulders i kept my head up now baby stand up cause girl you you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and im feeling so electric dance my ass off and even if i wanted to i cant stop yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and im feeling so electric dance my ass off and even if i wanted to i cant stop yeah yeah yeah yeah yeah you want me i want you baby my sugarboo im levitating the milky way were renegading i got you moonlight youre my starlight i need you all night come on dance with me im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating,0.12,0.27,0.1,0.18,0.33
13,common love isnt for us we created something phenomenal dont you agree dont you agree you got me feeling diamond rich nothing on this planet compares to it dont you agree dont you agree who needs to go to sleep when i got you next to me all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on lets get physical adrenaline keeps on rushing in love the simulation were dreaming in dont you agree dont you agree i dont wanna live another life cause this ones pretty nice living it up who needs to go to sleep when i got you next to me all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on lets get physical hold on just a little tighter come on hold on tell me if youre ready come on baby keep on dancing lets get physical hold on just a little tighter come on hold on tell me if youre ready come on baby keep on dancing lets get physical all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on lets get physical lets get physical physical lets get physical come on phy phy phy physical,0.21,0.12,0.03,0.32,0.32
14,im on an island even when youre close cant take the silence id rather be alone i think its pretty plain and simple we gave it all we could its time i wave goodbye from the window lets end this like we should and say were good were not meant to be like sleeping and cocaine so lets at least agree to go our separate ways not gonna judge you when youre with somebody else as long as you swear you wont be pissed when i do it myself lets end it like we should and say were good no need to hide it go get what you want this wont be a burden if we both dont hold a grudge i think its pretty plain and simple we gave it all we could its time i wave goodbye from the window lets end this like we should and say were good were not meant to be like sleeping and cocaine so lets at least agree to go our separate ways not gonna judge you when youre with somebody else as long as you swear you wont be pissed when i do it myself lets end it like we should and say were good now youre holding this against me like i knew you would im trying my best to make this easy so dont give me that look just say were good were not meant to be like sleeping and cocaine so lets at least agree to go our separate ways not gonna judge you when youre with somebody else as long as you swear you wont be pissed when i do it myself lets end it like we should and say were good,0.08,0.19,0.03,0.33,0.36
15,here where the skys falling im covered in blue im running and im crawling fighting for you when the rain stops then darling what will i do and i know i go all in but why do i you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know its a bittersweet feeling longing and im leaving i go i go i go but i wish i was there with you oh i wish i was there with you theres a crack in my window a bird in my room angels all over that watch over you when im walking on water all my dreams have come true still nothing means nothing without you you you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know its a bittersweet feeling longing and im leaving i go i go i go tell my heart to lie but i know deep inside its true that i wish i was there with you that i wish i was there with you oh i wish i was there with you you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know its a bittersweet feeling longing and im leaving i go i go i go tell my heart to lie but i know deep inside its true that i wish i was there with you that i wish i was there with you oh i wish i was there with you,0.0,0.04,0.04,0.41,0.52
16,feel your eyes they all over me dont be shy take control of me get the vibe its gonna be lit tonight baby girl yuh a carry ten ton a phatness gimme some a dat mixed wid the badness look how she hot shaped like goddess but a nah jus dat is a good piece a mentals under di cap hot piece of frame an mi love how yuh trod watching every step a di pepper deh whe yuh got stayin in ma brain memory cyah detach mainly my aim is to give you this love hypnotic the way you move let me acknowledge the way you do and i would not lie baby you beam me up like scotty its so hypnotic the way you move thats why i wanted to get to you and i would not lie baby you move so hypnotic no lie i ie gyal we never miss feel your eyes theyre all over me dont be shy take control of me get the vibe its gonna be lit tonight gyal we never miss gyal we never miss no li i i ie hypnotised pour another one its alright i know what you want get the vibe its gonna be lit tonight gyal we never miss gyal we never miss no li i ie feels how we do it no li i ie same suh we do it no li i ie feels how we do it its gonna be lit tonight no li i ie feels how we do it no li i ie its always how we do it no li i ie feels how we do it its gonna be lit tonight no lie i ie im so lit so lit my girl suh lemme see you roll it roll it my girl now lemme see you bend and fold it now let mi bone it and let mi own it my girl give yuh all the styles dat i have mastered hoist you up baby girl thats my word give you the good lovin that is preferred you deserve it so dont be scared its hypnotic the way you move let me acknowledge the way you do and i would not lie baby you beam me up like scotty its so hypnotic the way you move thats why i wanted to get to you and i would not lie baby you move so hypnotic no lie i ie gyal never miss feel your eyes theyre all over me dont be shy take control of me get the vibe its gonna be lit tonight gyal we never miss gyal we never miss no li i i ie hypnotised pour another one its alright i know what you want get the vibe its gonna be lit tonight gyal we never miss gyal we never miss no li i ie feels how we do it no li i ie its always how we do it no li i ie feels how we do it its gonna be lit tonight no lie i ie feels how we do it no li i ie its always how we do it no li i ie feels how we do it its gonna be lit tonight no lie i ie shake dat body lemme see you just do it give dem hundred percent no lie i ie move dat body lemme see you just do it girl go on represent no lie i ie shake dat body lemme see you just do it to the fullest extent no lie i ie move dat body lemme see you just do it girl youre magnificent no lie i ie feel your eyes theyre all over me dont be shy take control of me get the vibe its gonna be lit tonight gyal we never miss gyal we never miss no li i i ie hypnotised pour another one its alright i know what you want get the vibe its gonna be lit tonight gyal we never miss gyal we never miss no li i ie feels how we do it no li i ie its always how we do it no li i ie feels how we do it its gonna be lit tonight no lie i ie feels how we do it no li i ie its always how we do it no li i ie feels how we do it its gonna be lit tonight no lie i ie,0.15,0.05,0.22,0.44,0.15
17,prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go strung out on a feeling my hands are tied your face on my ceiling i fantasize oh i cant control it i cant control it i try to replace it with city lights ill never escape it i need the high oh i cant control it i cant control it you keep making it harder to stay but i still cant run away i gotta know why cant you why cant you just let me go prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go i tasted heaven now i cant live without it i cant forget you and your love is the loudest oh i cant control it i cant control it you keep making it harder to stay but i still cant run away i gotta know why cant you why cant you just let me go prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go prisoner prisoner locked up cant get you off my mind off my mind lord knows i tried a million times million times oh woah why cant you why cant you just let me go cant get you off my mind why cant you just let me go million times i wanna know why cant you why cant you i wanna know why cant you why cant you i gotta know why cant you why cant you just let me go ,0.08,0.19,0.46,0.15,0.12
18,ah yeah ah yeah he calls me the devil i make him wanna sin every time i knock he cant help but let me in must be homesick for the real im the realest it gets you probably still adore me with my hands around your neck can you feel the warmth yeah as my kiss goes down you like some sweet alcohol where im coming from yeah its the darker side of me that makes you feel so numb cause i m hot like hell does it burn when im not there and youre by yourself am i the answer to your prayers im giving you that pleasure heaven and ill give it to you hotter than hell hotter than hell youre my manna from heaven we all gotta get fed can t let me know im wanted can t let me in your head im not here to make you kneel but its praise that i get you aint gonna walk free boy not finished with you yet no can you feel the warmth yeah as my kiss goes down you like some sweet alcohol where i m coming from yeah its the darker side of me that makes you feel so numb cause im hot like hell does it burn when im not there and youre by yourself am i the answer to your prayers im giving you that pleasure heaven and ill give it to you hotter than hell hotter than hell oh youre down right there you make me feel right there when you lay me down right there we just make it right there cause youre looking so right there baby you should touch me right there if you take me right there we could make it cause im hot like hell does it burn when im not there and youre by yourself am i the answer to your prayers im giving you that pleasure heaven and ill give it to you hotter than hell hotter than hell hotter than hell hotter than hell and ill give it to you hotter than hell,0.12,0.0,0.17,0.46,0.24
19,i never thought that i would find a way out i never thought id hear my heart beat so loud i cant believe theres something left in my chest anymore but goddamn you got me in love again i used to think that i was made out of stone i used to spend so many nights on my own i never knew i had it in me to dance anymore but goddamn you got me in love again show me that heavens right here baby touch me so i know im not crazy never have i ever met somebody like you used to be afraid of love and what it might do but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again so many nights my tears fell harder than rain scared i would take my broken heart to the grave id rather die than have to live in a storm like before but goddamn you got me in love again show me that heavens right here baby touch me so i know im not crazy never have i ever met somebody like you used to be afraid of love and what it might do but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again i cant believe i cant believe i finally found someone ill sink my teeth in disbelief cause youre the one that i want i cant believe i cant believe im not afraid anymore goddamn you got me in love again la la la la la la la la la la la la i never thought that i would find a way out i never thought id hear my heart beat so loud i cant believe theres something left in my chest anymore oh goddamn you got me in love again i cant believe i cant believe i finally found someone ill sink my teeth in disbelief cause youre the one that i want i cant believe theres something left inside my chest anymore but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again,0.4,0.02,0.13,0.23,0.21
20,its second nature to walk home before the sun goes down and put your keys between your knuckles when theres boys around isnt it funny how we laugh it off to hide our fear when theres nothing funny here sick intuition that they taught us so we wont freak out we hide our figures doing anything to shut their mouths we smile away to ease the tension so it dont go south but theres nothing funny now when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women im sure if theres something that i cant find the words to say i know that there will be a man around to save the day and that was sarcasm in case you needed it mansplained i shouldve stuck to ballet when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women if youre offended by this song youre clearly doing something wrong if youre offended by this song then youre probably saying boys will be boys will be boys will be boys will be boys but girls will be women when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women,0.22,0.14,0.35,0.19,0.11
21,3 a m and my neighbors hate me music blasting shaking these walls this time mary jane wont save me ive been working later ive been drinking stronger ive been smoking deeper but the memories wont stop i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you like poison coursing through me so clear my vision is blurred the haze wont put my mind at ease ive been sleeping later ive been breathing stronger ive been digging deeper but the memories wont stop i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you i want you all say it before you run out of time i want you all say it before its too late i want you all say what i am feeling now i want you all waiting is insane i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you,0.0,0.07,0.11,0.57,0.25
